index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
0, AIG Construction Index _0.5,AUDUSD,3,0.59,291.7,196.3,[ 99.8 191.9],[ 81.1 115.2],[ 43.8 116.7],[33.1 58.5],[ 56.  115.3],[48.  90.2],[ 9.  20.3],[ 8.9 20. ],[11.1 23.8],[15.5 28.8],"(array([17.5, 26.4]),)","(array([17.9, 26.4]),)","(array([29.7, 50.3]),)","(array([26.2, 43.8]),)","(array([16. , 30.7]),)","(array([15.8, 31. ]),)"
1, AIG Construction Index _1,AUDUSD,2,0.92,386.2,219.3,[136.5 249.7],[ 88.  131.3],[ 63.1 159.3],[34.2 56.3],[ 73.4 145.5],[ 53.7 106.3],[21.6 44. ],[24.6 46.6],[22.2 42.6],[20.1 35.5],"(array([32.5, 48.3]),)","(array([26. , 39.2]),)","(array([30.3, 52.4]),)","(array([13.7, 19.3]),)","(array([15.9, 31.1]),)","(array([ 5.8, 11. ]),)"
2, AIG Construction Index _1.5,AUDUSD,3,0.92,464.5,318.5,[172.9 291.6],[127.2 191.3],[ 77.  180.3],[ 57.6 106.3],[ 95.9 180.3],[ 69.7 132.1],[41.5 77. ],[47.1 79.6],[41.6 73.7],[44.5 77.5],"(array([50.8, 74.6]),)","(array([48.4, 71. ]),)","(array([31.3, 54.4]),)","(array([15.7, 22. ]),)","(array([16. , 31.8]),)","(array([ 6.8, 12.7]),)"
3, AIG Construction Index _2,AUDUSD,2,0.875,547.4,389.0,[207.9 339.5],[148.7 240.3],[ 96.4 206.9],[ 64.6 131.8],[111.6 206.9],[ 84.2 167. ],[54.3 96.8],[48.8 83.7],[53.4 94.7],[54.9 93.2],"(array([63.1, 93.1]),)","(array([51.7, 76. ]),)","(array([31.8, 55.2]),)","(array([15.7, 22. ]),)","(array([16.1, 32.2]),)","(array([ 6.8, 12.7]),)"
4, AIG Construction Index _2.5,AUDUSD,2,0.895,654.0,517.3,[257.4 396.6],[190.8 326.5],[108.4 222.3],[ 65.9 133.8],[149.  277.8],[124.9 255.9],[ 66.7 118.4],[ 56.5 100.7],[ 84.8 141. ],[ 91.6 147.7],"(array([ 84.9, 122.2]),)","(array([ 76.6, 106.5]),)","(array([28.9, 49.2]),)","(array([15.7, 22. ]),)","(array([13.7, 26.1]),)","(array([ 6.8, 12.7]),)"
5, AIG Construction Index _3,AUDUSD,2,0.865,720.7,550.5,[285.8 434.9],[212.6 337.9],[130.  270.1],[ 85.4 159.9],[155.8 288.1],[127.2 259. ],[ 78.6 138.2],[ 79.5 138.4],[ 92.2 155.5],[ 96.3 157.9],"(array([ 91.3, 136.8]),)","(array([ 75.7, 113.7]),)","(array([28.9, 49.2]),)","(array([15.7, 22. ]),)","(array([13.7, 26.1]),)","(array([ 6.8, 12.7]),)"
6, AIG Construction Index _3.5,AUDUSD,2,0.865,916.0,604.3,[353.8 562.2],[236.8 367.5],[158.9 311.1],[106.2 185.7],[194.9 362.1],[130.7 268.9],[111.3 178.6],[ 96.  156.6],[118.  190.6],[123.5 193.9],"(array([ 89.3, 142.3]),)","(array([ 82.3, 125.4]),)","(array([29.3, 49.8]),)","(array([15.7, 22. ]),)","(array([13.8, 26.4]),)","(array([ 6.8, 12.7]),)"
7, AIG Construction Index _4,AUDUSD,2,0.94,1021.3,641.5,[392.5 628.8],[259.4 382.1],[169.  320.5],[112.4 194.4],[223.5 440.7],[147.  285.1],[125.5 205.4],[108.7 181.4],[140.1 218.4],[159.7 228.7],"(array([119.5, 183.5]),)","(array([112.2, 175.8]),)","(array([29.3, 49.8]),)","(array([15.7, 22. ]),)","(array([13.8, 26.4]),)","(array([ 6.8, 12.7]),)"
8, AIG Manufacturing Index _0.5,AUDUSD,2,0.82,300.9,132.1,[105.7 195.2],[56.9 75.2],[ 48.  103.2],[30.6 44.5],[ 57.8 142.3],[26.3 49.2],[ 9.2 20.6],[15.7 24.5],[11.4 23.8],[ 9.2 21.6],"(array([17.3, 27. ]),)","(array([18.2, 25.8]),)","(array([35.2, 67.6]),)","(array([17.7, 24.3]),)","(array([20.7, 51.7]),)","(array([ 8.6, 15.3]),)"
9, AIG Manufacturing Index _1,AUDUSD,3,0.71,426.0,191.7,[151.3 274.7],[ 81.  110.7],[ 69.1 165.9],[48.6 74.2],[ 82.1 183.9],[32.4 55. ],[20.6 42. ],[20.4 42. ],[26.7 49. ],[21.3 40.4],"(array([32.5, 46.2]),)","(array([27.6, 41.5]),)","(array([33.7, 54.5]),)","(array([23.5, 44.6]),)","(array([18.1, 34.4]),)","(array([ 7.6, 15.4]),)"
