index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
0,ADP Nonfarm Employment Change_0.5,GBPCAD,2,0.94,718.5999999999999,568.9,[297.7 420.9],[242.4 326.5],[131.7 220.3],[116.3 188.4],[166.  281.4],[126.1 242.5],[11.4 23.9],[12.2 25.6],[12.9 25.2],[12.8 26.3],"(array([20. , 28.4]),)","(array([23. , 31.4]),)","(array([ 98.1, 157.1]),)","(array([64.7, 80.9]),)","(array([49.2, 96.6]),)","(array([24.1, 43.3]),)"
1,ADP Nonfarm Employment Change_1,GBPCAD,2,0.85,1010.6,862.0,[402.7 607.9],[362. 500.],[183.8 341. ],[177.7 318.3],[218.9 381. ],[184.2 375.1],[24.3 46.6],[26.9 49.7],[25.2 48.2],[24.  48.4],"(array([37.6, 53.6]),)","(array([43.6, 55.7]),)","(array([ 98.1, 157.1]),)","(array([64.7, 80.9]),)","(array([49.2, 96.6]),)","(array([24.1, 43.3]),)"
2,ADP Nonfarm Employment Change_1.5,GBPCAD,2,0.83,1339.5,1015.4,[517.4 822.1],[444.1 571.3],[261.  534.3],[198.7 350.6],[256.4 426.8],[245.4 425.1],[48.4 83.7],[37.3 66.6],[39.5 71.9],[51.9 87.3],"(array([56.6, 78.6]),)","(array([50.4, 74.9]),)","(array([ 98.1, 157.1]),)","(array([64.7, 80.9]),)","(array([49.2, 96.6]),)","(array([24.1, 43.3]),)"
3,ADP Nonfarm Employment Change_2,GBPCAD,2,0.88,1574.3,1052.6,[595.5 978.8],[459.  593.6],[310.4 650.4],[202.5 359.3],[285.1 487.7],[256.5 437.9],[ 68.7 110.7],[48.4 88.6],[53.9 96.5],[ 59.7 101.5],"(array([70.5, 98.9]),)","(array([62.6, 88.6]),)","(array([ 98.1, 157.1]),)","(array([64.7, 80.9]),)","(array([49.2, 96.6]),)","(array([24.1, 43.3]),)"
4,ADP Nonfarm Employment Change_2.5,GBPCAD,2,0.89,1809.5,1313.1,[ 694.  1115.5],[566.7 746.4],[386.7 793.1],[294.4 572.6],[307.4 540.5],[272.3 448.6],[ 87.9 141. ],[ 87.8 145.3],[ 64.7 117.3],[ 69.9 123.5],"(array([ 86.3, 120.7]),)","(array([ 76.4, 115. ]),)","(array([ 98.1, 157.1]),)","(array([64.7, 80.9]),)","(array([49.2, 96.6]),)","(array([24.1, 43.3]),)"
5,ADP Nonfarm Employment Change_3,GBPCAD,2,0.905,1949.0,1371.2,[ 753.2 1195.8],[592.7 778.5],[416.  825.2],[316.7 607.3],[337.2 608. ],[276.  452.8],[ 96.3 158.7],[ 94.7 159.2],[ 77.  140.4],[ 74.3 133. ],"(array([103.6, 143.5]),)","(array([ 87.7, 127.2]),)","(array([ 98.1, 157.1]),)","(array([64.7, 80.9]),)","(array([49.2, 96.6]),)","(array([24.1, 43.3]),)"
6,ADP Nonfarm Employment Change_3.5,GBPCAD,2,0.94,2022.6,1425.3,[ 796.2 1226.4],[639.4 785.9],[439.5 849.8],[348.1 628.9],[356.7 632.9],[291.3 476.4],[110.3 185. ],[101.7 174.7],[ 87.1 158.3],[ 78.9 145.2],"(array([121.1, 162.6]),)","(array([ 99.3, 140.6]),)","(array([ 98.1, 157.1]),)","(array([64.7, 80.9]),)","(array([49.2, 96.6]),)","(array([24.1, 43.3]),)"
7,ADP Nonfarm Employment Change_4,GBPCAD,2,0.955,2061.6000000000004,1435.5,[ 816.7 1244.9],[643.6 791.9],[457.7 869.8],[349.2 628.8],[359.  635.5],[294.4 481.5],[116.7 198.9],[109.2 190.5],[ 91.3 168.5],[ 84.9 160.8],"(array([131.8, 175.7]),)","(array([112.7, 161.5]),)","(array([ 98.1, 157.1]),)","(array([64.7, 80.9]),)","(array([49.2, 96.6]),)","(array([24.1, 43.3]),)"
8,BOC Press Conference_0.5,GBPCAD,3,0.79,800.5,732.2,[325.6 474.9],[296.7 435.5],[160. 300.],[107.2 189.9],[165.6 307.6],[189.4 326.2],[10.  21.9],[ 4.5 15. ],[ 9.  21.1],[10.2 21.8],"(array([16.2, 25.8]),)","(array([17.1, 26.5]),)","(array([119.8, 181.9]),)","(array([123.8, 191.7]),)","(array([50.2, 88.7]),)","(array([54.9, 94.7]),)"
9,BOC Press Conference_1,GBPCAD,2,0.845,1066.8,889.2,[419.7 647.1],[361.2 528. ],[187.  360.1],[134.6 220.1],[232.7 451.9],[226.6 401.6],[23.  46.3],[20.7 46.3],[26.5 52.2],[22.2 46.9],"(array([41.7, 60. ]),)","(array([42.6, 60.5]),)","(array([119.8, 181.9]),)","(array([123.8, 191.7]),)","(array([50.2, 88.7]),)","(array([54.9, 94.7]),)"
