index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
0,Business Climate_0.5,GBPCAD,4,0.8525,691.5,732.6,[271.5 420. ],[295.6 437. ],[136.  251.6],[211.2 367.8],[135.5 278. ],[ 84.4 187.9],[10.3 22.1],[15.8 26.3],[ 9.2 20.7],[ 6.2 17.1],"(array([18.8, 26.6]),)","(array([20.1, 28.4]),)","(array([ 91.2, 137.1]),)","(array([ 84.3, 136.9]),)","(array([46.7, 79.9]),)","(array([38.2, 65.8]),)"
1,Business Climate_1,GBPCAD,4,0.8675,907.1,1046.1,[359.  548.1],[409.7 636.4],[180.5 334.8],[298.3 546.6],[178.5 365.3],[111.3 264.9],[23.2 45.6],[37.5 58.9],[25.1 48.2],[14.7 36.8],"(array([34.8, 51.2]),)","(array([41.4, 58.6]),)","(array([ 91.2, 137.1]),)","(array([ 84.3, 136.9]),)","(array([46.7, 79.9]),)","(array([38.2, 65.8]),)"
2,Business Climate_1.5,GBPCAD,3,0.5933333333333334,1061.4,1236.8,[425.6 635.8],[499.7 737.1],[206.5 382.8],[350.3 624.3],[219.1 430.3],[149.3 323.4],[39.  72.3],[49.6 82.9],[39.6 72.4],[31.7 67.2],"(array([50.4, 73.1]),)","(array([57.5, 76. ]),)","(array([ 92.1, 138. ]),)","(array([ 87.7, 138.5]),)","(array([47.4, 80.5]),)","(array([42.8, 69.3]),)"
3,Business Climate_2,GBPCAD,3,0.92,1344.8000000000002,1519.8,[514.2 830.6],[614.3 905.5],[240.8 446.2],[395.  671.6],[273.4 582.9],[219.3 410.1],[ 55. 100.],[ 58.5 100.2],[ 59.8 103.8],[ 58.7 109.1],"(array([ 72.4, 101.8]),)","(array([ 67.9, 101.1]),)","(array([ 92.1, 138. ]),)","(array([ 87.7, 138.5]),)","(array([47.4, 80.5]),)","(array([42.8, 69.3]),)"
4,Business Climate_2.5,GBPCAD,4,0.6925,1520.8000000000002,1678.8000000000002,[588.1 932.7],[ 669.2 1009.6],[286.4 547. ],[387.3 681. ],[301.8 622. ],[281.8 491.4],[ 70.3 127.5],[ 67.3 114.9],[ 73.4 126.7],[ 83.6 142.6],"(array([ 93. , 126.6]),)","(array([ 93.7, 128.6]),)","(array([ 92.6, 138.3]),)","(array([ 90.7, 138.7]),)","(array([47.7, 80.8]),)","(array([45.5, 69.3]),)"
5,Business Climate_3,GBPCAD,4,0.695,1691.5,1824.7,[ 662.2 1029.3],[ 729.7 1095. ],[326.3 623.7],[413.8 739.5],[335.8 675.5],[315.9 550.8],[ 87.6 156.1],[ 75.2 133. ],[ 92.5 157.4],[ 89.8 155.5],"(array([108.8, 152.5]),)","(array([107.9, 145.9]),)","(array([ 92.6, 138.3]),)","(array([ 90.7, 138.7]),)","(array([47.7, 80.8]),)","(array([45.5, 69.3]),)"
6,Business Climate_3.5,GBPCAD,3,0.9233333333333332,1829.8,1910.6,[ 724.  1105.8],[ 775.4 1135.2],[358.9 673.3],[439.9 773. ],[365.1 724.6],[335.5 556.6],[110.7 189.5],[117.6 190.6],[113.  186.6],[131.6 197. ],"(array([122. , 174.4]),)","(array([102. , 151.5]),)","(array([ 92.6, 138.3]),)","(array([ 90.7, 138.7]),)","(array([47.7, 80.8]),)","(array([45.5, 69.3]),)"
7,Business Climate_4,GBPCAD,4,0.69,1957.3,1952.3,[ 786.3 1171. ],[ 793.9 1158.4],[392.9 725.6],[458.4 794.4],[393.4 765.9],[335.5 556.6],[128. 217.],[125.4 207.5],[128.9 211.3],[131.6 197. ],"(array([133.6, 193.3]),)","(array([108. , 151.1]),)","(array([ 92.6, 138.3]),)","(array([ 90.7, 138.7]),)","(array([47.7, 80.8]),)","(array([45.5, 69.3]),)"
8,Business and Consumer Survey_0.5,GBPCAD,4,0.855,662.8,732.6,[260.5 402.3],[295.6 437. ],[120.2 220.6],[211.2 367.8],[140.2 279.2],[ 84.4 187.9],[ 9.7 21.3],[15.8 26.3],[10.3 21.2],[ 6.2 17.1],"(array([17.8, 25.5]),)","(array([20.1, 28.4]),)","(array([ 89.2, 136.1]),)","(array([ 84.3, 136.9]),)","(array([45.1, 77.9]),)","(array([38.2, 65.8]),)"
9,Business and Consumer Survey_1,GBPCAD,4,0.8725,889.7,1046.1,[351.8 537.9],[409.7 636.4],[167.7 313.3],[298.3 546.6],[184.1 366.7],[111.3 264.9],[25.1 48.2],[37.5 58.9],[25.9 48.4],[14.7 36.8],"(array([35.6, 51.8]),)","(array([41.4, 58.6]),)","(array([ 89.2, 136.1]),)","(array([ 84.3, 136.9]),)","(array([45.1, 77.9]),)","(array([38.2, 65.8]),)"
10,Business and Consumer Survey_1.5,GBPCAD,3,0.5866666666666667,1069.5,1236.8,[428.  641.5],[499.7 737.1],[203.6 375.9],[350.3 624.3],[224.4 436.7],[149.3 323.4],[41.5 75.5],[49.6 82.9],[38.9 70.6],[31.7 67.2],"(array([50.6, 73.9]),)","(array([57.5, 76. ]),)","(array([ 90. , 136.9]),)","(array([ 87.7, 138.5]),)","(array([45.7, 78.5]),)","(array([42.8, 69.3]),)"
11,Business and Consumer Survey_2,GBPCAD,3,0.9166666666666666,1336.8,1519.8,[511.2 825.6],[614.3 905.5],[238.9 442.5],[395.  671.6],[272.3 577.3],[219.3 410.1],[ 58.1 102.3],[ 58.5 100.2],[ 57.4 100.8],[ 58.7 109.1],"(array([ 71.6, 102. ]),)","(array([ 67.9, 101.1]),)","(array([ 89.2, 135. ]),)","(array([ 87.7, 138.5]),)","(array([45.3, 77.8]),)","(array([42.8, 69.3]),)"
12,Business and Consumer Survey_2.5,GBPCAD,3,0.5966666666666667,1506.0,1678.8000000000002,[582.5 923.5],[ 669.2 1009.6],[285.8 545.4],[387.3 681. ],[296.6 608.7],[281.8 491.4],[ 73.7 130. ],[ 67.3 114.9],[ 70.7 123.1],[ 83.6 142.6],"(array([ 90.6, 125. ]),)","(array([ 93.7, 128.6]),)","(array([ 89.6, 135.3]),)","(array([ 90.7, 138.7]),)","(array([45.5, 78. ]),)","(array([45.5, 69.3]),)"
13,Business and Consumer Survey_3,GBPCAD,3,0.5933333333333334,1676.5,1824.7,[ 656.5 1020. ],[ 729.7 1095. ],[322.1 617.7],[413.8 739.5],[334.5 668.5],[315.9 550.8],[ 90.3 156.6],[ 75.2 133. ],[ 90.9 155.7],[ 89.8 155.5],"(array([108.5, 150. ]),)","(array([107.9, 145.9]),)","(array([ 89.6, 135.3]),)","(array([ 90.7, 138.7]),)","(array([45.5, 78. ]),)","(array([45.5, 69.3]),)"
14,Business and Consumer Survey_3.5,GBPCAD,2,0.87,1794.4,1910.6,[ 709.6 1084.8],[ 775.4 1135.2],[349.7 657.3],[439.9 773. ],[359.9 710.5],[335.5 556.6],[115.  191.5],[117.6 190.6],[107.9 180.5],[131.6 197. ],"(array([119.5, 169.3]),)","(array([102. , 151.5]),)","(array([ 89.6, 135.3]),)","(array([ 90.7, 138.7]),)","(array([45.5, 78. ]),)","(array([45.5, 69.3]),)"
15,Business and Consumer Survey_4,GBPCAD,2,0.87,1924.5,1952.3,[ 770.1 1154.4],[ 793.9 1158.4],[384.  705.9],[458.4 794.4],[386.2 753.5],[335.5 556.6],[135.2 222.2],[125.4 207.5],[121.1 203.1],[131.6 197. ],"(array([131.2, 189.4]),)","(array([108. , 151.1]),)","(array([ 89.6, 135.3]),)","(array([ 90.7, 138.7]),)","(array([45.5, 78. ]),)","(array([45.5, 69.3]),)"
16,CFTC EUR speculative net positions_0.5,GBPCAD,4,0.69,564.7,499.5,[215.5 349.2],[212.  287.5],[100.9 196.2],[110.7 168.1],[114.6 229.6],[101.2 198.3],[13.9 26.1],[19.3 30. ],[16.1 28.5],[17.2 27.7],"(array([19.1, 28.1]),)","(array([17.9, 26.6]),)","(array([53.7, 87.5]),)","(array([52.2, 74. ]),)","(array([28.4, 53.2]),)","(array([25.4, 42.3]),)"
