index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
0,German 10-Year Bund Auction_0.5,GBPCAD,3,0.8933333333333333,687.2,517.1,[260.5 426.7],[211.3 305.8],[129.4 253.3],[115.2 231.4],[131.1 296.4],[ 96.1 150.2],[12.6 24. ],[13.2 26.2],[10.8 22.9],[11.2 23.1],"(array([18.8, 27.1]),)","(array([20.3, 28. ]),)","(array([ 84.5, 177.7]),)","(array([ 96.2, 217.7]),)","(array([42.6, 82.9]),)","(array([ 48.3, 107.4]),)"
1,German 10-Year Bund Auction_1,GBPCAD,2,0.9,941.3,764.6,[368.9 572.4],[306.5 458.1],[187.5 377.3],[195.2 377.8],[181.5 374.3],[111.2 189.1],[26.5 49.1],[26.2 43.6],[26.6 50.5],[27.4 51.5],"(array([38. , 54.1]),)","(array([35.7, 47.6]),)","(array([ 84.8, 179.1]),)","(array([ 91.7, 213.2]),)","(array([42.6, 83.4]),)","(array([ 46.1, 105.5]),)"
2,German 10-Year Bund Auction_1.5,GBPCAD,2,0.915,1121.5,882.6,[444.3 677.2],[365.9 516.7],[226.8 467. ],[203.7 389.8],[217.5 427.3],[162.2 286.1],[44.5 78. ],[37.9 63.6],[37.1 70.2],[45.1 82. ],"(array([54.7, 76.9]),)","(array([53.7, 74.6]),)","(array([ 84.8, 179.1]),)","(array([ 91.7, 213.2]),)","(array([42.6, 83.4]),)","(array([ 46.1, 105.5]),)"
3,German 10-Year Bund Auction_2,GBPCAD,2,0.915,1285.0,1041.0,[514.3 770.7],[435.6 605.4],[264.3 532.3],[228.1 435.3],[250.  490.2],[207.5 391.8],[ 62.  105.4],[ 57.3 101.7],[52.6 97.2],[ 54.5 102. ],"(array([71.9, 99.6]),)","(array([ 82.5, 106.7]),)","(array([ 84.8, 179.1]),)","(array([ 91.7, 213.2]),)","(array([42.6, 83.4]),)","(array([ 46.1, 105.5]),)"
4,German 10-Year Bund Auction_2.5,GBPCAD,2,0.9,1461.3000000000002,1221.8,[585.1 876.2],[502.2 719.6],[299.8 601.3],[257.9 466.4],[285.3 554.7],[244.2 489.1],[ 75.4 126.7],[ 73.5 125. ],[ 69.2 124.8],[ 62.9 119.7],"(array([ 85.1, 122.1]),)","(array([ 91.1, 125.2]),)","(array([ 84.8, 179.1]),)","(array([ 91.7, 213.2]),)","(array([42.6, 83.4]),)","(array([ 46.1, 105.5]),)"
5,German 10-Year Bund Auction_3,GBPCAD,2,0.9,1612.7,1381.0,[645.  967.7],[570.7 810.3],[337.8 679.3],[289.  495.7],[307.3 597.2],[281.7 572.7],[ 93.2 156.2],[ 90.9 150.9],[ 81.4 147.6],[ 84.7 158.2],"(array([101.9, 147.7]),)","(array([107.1, 145.4]),)","(array([ 84.8, 179.1]),)","(array([ 91.7, 213.2]),)","(array([42.6, 83.4]),)","(array([ 46.1, 105.5]),)"
6,German 10-Year Bund Auction_3.5,GBPCAD,2,0.89,1900.7,1440.8000000000002,[ 750.2 1150.5],[593.2 847.6],[403.3 806.7],[299.5 512.7],[346.9 679.3],[293.7 603. ],[117.3 193.1],[ 98.7 167.4],[ 99.7 176.8],[103.1 181.3],"(array([118. , 173.1]),)","(array([127.7, 167.7]),)","(array([ 84.8, 179.1]),)","(array([ 91.7, 213.2]),)","(array([42.6, 83.4]),)","(array([ 46.1, 105.5]),)"
7,German 10-Year Bund Auction_4,GBPCAD,2,0.925,2068.4,1584.9,[ 814.2 1254.2],[662.3 922.6],[433.3 873.7],[321.2 555.4],[380.9 735. ],[341.2 677.9],[132.2 216.1],[108.6 188.4],[118.1 207.7],[115.4 206.9],"(array([138.2, 199.1]),)","(array([150. , 207.3]),)","(array([ 84.8, 179.1]),)","(array([ 91.7, 213.2]),)","(array([42.6, 83.4]),)","(array([ 46.1, 105.5]),)"
8,German 12-Month Bubill Auction_0.5,GBPCAD,2,0.92,609.0,537.0999999999999,[235.7 373.3],[230.2 306.9],[107.7 204.5],[112.7 191.3],[128.1 270.8],[117.5 202.5],[11.  23.5],[13.2 25.3],[11.7 24.6],[15.4 27.7],"(array([21.8, 29.6]),)","(array([22.2, 28.9]),)","(array([ 77.2, 143.3]),)","(array([59.2, 78.4]),)","(array([ 46.8, 100.2]),)","(array([29.8, 53.1]),)"
9,German 12-Month Bubill Auction_1,GBPCAD,3,0.5833333333333334,788.2,673.9,[305.4 482.8],[276.2 397.7],[141.7 273.9],[132.9 243.2],[163.8 335.3],[143.3 226.5],[21.7 44.4],[19.2 40.3],[23.9 46.1],[35.7 57.9],"(array([36.8, 51.4]),)","(array([40.3, 51.4]),)","(array([ 76.8, 144.6]),)","(array([50.6, 64.1]),)","(array([ 46. , 100.7]),)","(array([18.8, 35.7]),)"
10,German 12-Month Bubill Auction_1.5,GBPCAD,2,0.86,985.5,840.5999999999999,[378.6 606.9],[341.4 499.2],[173.7 332. ],[170.7 313.6],[204.9 432.3],[170.7 275. ],[40.4 75.5],[41.7 76.7],[38.4 73.5],[47.7 76.1],"(array([57.9, 81.3]),)","(array([51. , 72.8]),)","(array([ 76.8, 144.6]),)","(array([50.6, 64.1]),)","(array([ 46. , 100.7]),)","(array([18.8, 35.7]),)"
11,German 12-Month Bubill Auction_2,GBPCAD,3,0.8933333333333333,1082.0,967.8,[428.7 653.3],[409.2 558.6],[204.8 379.6],[212.5 376.5],[223.9 455.6],[196.7 308.1],[ 60.2 108.5],[ 58. 107.],[52.2 96.6],[ 61.7 101.1],"(array([ 75.3, 105.7]),)","(array([ 70.7, 100.1]),)","(array([ 77.7, 145.6]),)","(array([50.6, 64.1]),)","(array([ 46.5, 101.4]),)","(array([18.8, 35.7]),)"
12,German 12-Month Bubill Auction_2.5,GBPCAD,2,0.805,1198.3000000000002,1037.5,[480.6 717.7],[451.2 586.3],[234.3 432.1],[240.2 404.8],[246.3 492.2],[211.  331.8],[ 72.2 128.3],[ 86.4 141. ],[ 61.4 113.7],[ 64.5 108.3],"(array([ 87.3, 123.7]),)","(array([ 74.9, 107.4]),)","(array([ 77.7, 145.6]),)","(array([50.6, 64.1]),)","(array([ 46.5, 101.4]),)","(array([18.8, 35.7]),)"
13,German 12-Month Bubill Auction_3,GBPCAD,2,0.84,1371.9,1065.9,[540.6 831.3],[471.4 594.5],[283.3 538.7],[260.4 415.9],[257.3 519.9],[211.  331.8],[103.2 172. ],[110.8 173.1],[ 65.9 123.3],[ 64.5 108.3],"(array([104.5, 145. ]),)","(array([ 92.3, 122.3]),)","(array([ 77.7, 145.6]),)","(array([50.6, 64.1]),)","(array([ 46.5, 101.4]),)","(array([18.8, 35.7]),)"
14,German 12-Month Bubill Auction_3.5,GBPCAD,2,0.84,1476.1999999999998,1148.6999999999998,[584.9 891.3],[512.3 636.4],[319.  597.4],[300.1 448.4],[265.9 534.5],[212.2 334.4],[121.8 200.9],[122.9 196.7],[ 85.  158.8],[ 72.2 129.5],"(array([130.8, 184.5]),)","(array([112.2, 150.7]),)","(array([ 77.7, 145.6]),)","(array([50.6, 64.1]),)","(array([ 46.5, 101.4]),)","(array([18.8, 35.7]),)"
15,German 12-Month Bubill Auction_4,GBPCAD,2,0.98,1636.6999999999998,1218.1,[653.9 982.8],[554.2 663.9],[366.1 684. ],[333.1 474.7],[287.9 570.2],[221.2 356.1],[144.4 233.1],[145.9 227.3],[104.2 192.8],[ 74.1 135.7],"(array([144.7, 209.4]),)","(array([130.8, 172.5]),)","(array([ 77.7, 145.6]),)","(array([50.6, 64.1]),)","(array([ 46.5, 101.4]),)","(array([18.8, 35.7]),)"
16,German 2-Year Schatz Auction_0.5,GBPCAD,3,0.9233333333333332,744.7,580.8,[279.1 465.6],[246.7 334.1],[135.4 292.3],[56.3 93.6],[143.7 280.9],[190.4 289.3],[12.7 24.8],[ 5.2 17.2],[11.3 23.3],[17.4 26.5],"(array([18.9, 27. ]),)","(array([20.1, 25.7]),)","(array([ 84.7, 152.4]),)","(array([72.4, 94.2]),)","(array([42.3, 80.2]),)","(array([34. , 53.6]),)"
