index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
0,10-Year JGB Auction_0.5,GBPJPY,2,0.84,409.4,452.6,[159.9 249.5],[177.4 275.2],[ 77.9 146.5],[ 81.9 136.9],[ 82.  159.5],[ 95.5 167.9],[11.2 23.1],[15.  27.1],[10.9 22.7],[10.1 22.8],"(array([18.9, 26.9]),)","(array([20.4, 30.3]),)","(array([54. , 93.6]),)","(array([ 76.2, 130.1]),)","(array([29.5, 59.8]),)","(array([43.4, 87.2]),)"
1,10-Year JGB Auction_1,GBPJPY,4,0.6875,558.7,645.3,[219.4 339.3],[257.7 387.6],[105.  187.5],[123.4 203.6],[114.3 220.4],[134.3 263.5],[24.6 46.2],[32.1 54.4],[26.6 48.6],[25.5 48.8],"(array([35. , 49.7]),)","(array([38.2, 49.7]),)","(array([55.2, 95.3]),)","(array([ 76.2, 130.1]),)","(array([30.3, 61.1]),)","(array([43.4, 87.2]),)"
2,10-Year JGB Auction_1.5,GBPJPY,2,0.84,730.3,762.1,[282.8 447.5],[312.8 449.3],[132.5 230.6],[149.  246.9],[150.3 310.8],[163.8 307.9],[41.3 75.2],[57.7 90.1],[42.5 73.8],[51.7 84.9],"(array([49.3, 72.4]),)","(array([50.9, 80.6]),)","(array([54.9, 95.3]),)","(array([ 76.2, 130.1]),)","(array([30.2, 61.2]),)","(array([43.4, 87.2]),)"
3,10-Year JGB Auction_2,GBPJPY,2,0.85,917.5,942.8,[356.  561.5],[386.7 556.1],[162.8 293.7],[181.5 308.2],[193.2 397.8],[205.2 392.8],[ 57.5 100.1],[ 66.2 106.3],[ 60.3 103.4],[ 64.5 105.3],"(array([69.2, 99.1]),)","(array([55.7, 92.8]),)","(array([54.9, 95.3]),)","(array([ 76.2, 130.1]),)","(array([30.2, 61.2]),)","(array([43.4, 87.2]),)"
4,10-Year JGB Auction_2.5,GBPJPY,2,0.9,1145.0,1185.9,[442.8 702.2],[467.9 718. ],[203.8 378.2],[220.5 431. ],[239.  493.9],[247.4 463.6],[ 80.6 133.8],[ 71.2 117.9],[ 79.2 132. ],[ 94.4 148.5],"(array([ 83.2, 121.2]),)","(array([ 82.4, 122.6]),)","(array([55.4, 96. ]),)","(array([ 76.2, 130.1]),)","(array([30.6, 61.7]),)","(array([43.4, 87.2]),)"
5,10-Year JGB Auction_3,GBPJPY,2,0.91,1296.4,1326.1,[510.1 786.3],[526.8 799.3],[234.1 416.8],[224.8 438.1],[276.  559.7],[302.  554.8],[103.3 164.6],[ 75.  127.9],[ 95.5 159.6],[136.2 194.1],"(array([101.1, 145.9]),)","(array([101.9, 147.9]),)","(array([55.4, 96. ]),)","(array([ 76.2, 130.1]),)","(array([30.6, 61.7]),)","(array([43.4, 87.2]),)"
6,10-Year JGB Auction_3.5,GBPJPY,2,0.885,1445.5,1421.1,[577.8 867.7],[564.6 856.5],[272.2 479.5],[248.5 501.7],[305.6 614.8],[316.1 562.6],[125.8 197.2],[100.1 171.1],[113.9 187.3],[141.9 204.6],"(array([112.8, 166.1]),)","(array([101. , 149.9]),)","(array([55.4, 96. ]),)","(array([ 76.2, 130.1]),)","(array([30.6, 61.7]),)","(array([43.4, 87.2]),)"
7,10-Year JGB Auction_4,GBPJPY,2,0.885,1660.9,1825.1,[ 660.8 1000.1],[ 721.1 1104. ],[314.9 584.1],[312.7 690.3],[345.8 692.5],[408.3 693.4],[141.9 221.4],[123.1 210.4],[134.9 219.9],[165.5 241.1],"(array([129.3, 190.6]),)","(array([122.2, 190.1]),)","(array([55.4, 96. ]),)","(array([ 76.2, 130.1]),)","(array([30.6, 61.7]),)","(array([43.4, 87.2]),)"
8,2-Year JGB Auction_0.5,GBPJPY,2,0.88,414.7,376.8,[170.1 244.6],[164.1 212.7],[ 85.  165.6],[ 96.6 164.4],[ 85.2 145.3],[ 67.5 112.5],[14.  25.8],[12.9 25.5],[ 8.4 18.1],[ 6.1 15.5],"(array([18.2, 25.4]),)","(array([19. , 26.6]),)","(array([52.8, 78.4]),)","(array([56.2, 74.4]),)","(array([26.1, 45.4]),)","(array([26.5, 43.7]),)"
9,2-Year JGB Auction_1,GBPJPY,3,0.5533333333333333,558.4000000000001,534.6,[226.8 331.6],[223.8 310.8],[124.3 238.7],[150.2 245.1],[102.5 179.7],[ 73.6 117.9],[28.9 50.5],[38.2 58.7],[18.8 38.8],[23.2 44.7],"(array([32.6, 47.9]),)","(array([35.2, 50. ]),)","(array([52.8, 78.4]),)","(array([56.2, 74.4]),)","(array([26.1, 45.4]),)","(array([26.5, 43.7]),)"
10,2-Year JGB Auction_1.5,GBPJPY,2,0.77,670.7,675.9000000000001,[270.6 400.1],[280.6 395.3],[147.5 282.2],[179.1 286.9],[123.1 221.1],[101.5 189.3],[41.4 73. ],[49.4 76.7],[36.7 71.8],[32.7 66.7],"(array([55. , 79.2]),)","(array([50.2, 74.8]),)","(array([52.8, 78.4]),)","(array([56.2, 74.4]),)","(array([26.1, 45.4]),)","(array([26.5, 43.7]),)"
11,2-Year JGB Auction_2,GBPJPY,2,0.81,815.5,950.0,[319.8 495.7],[363.2 586.8],[161.  304.8],[198.9 315.4],[158.8 317.1],[164.2 390.7],[49.7 89.7],[ 62.4 102. ],[ 57.7 103.6],[ 61.2 111.4],"(array([69.4, 99.4]),)","(array([ 66.7, 101. ]),)","(array([52.8, 78.4]),)","(array([56.2, 74.4]),)","(array([26.1, 45.4]),)","(array([26.5, 43.7]),)"
12,2-Year JGB Auction_2.5,GBPJPY,2,0.83,924.7,1114.7,[367.4 557.3],[432.7 682. ],[184.2 336.5],[239.1 375.7],[183.2 364.1],[193.7 451.5],[ 72.4 126.7],[ 88.8 147.9],[ 74.4 130.2],[ 75.4 129.8],"(array([ 88.2, 126.2]),)","(array([ 85.7, 131. ]),)","(array([53.7, 79.1]),)","(array([56.2, 74.4]),)","(array([26.6, 46. ]),)","(array([26.5, 43.7]),)"
