index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
0,ANZ Business Confidence_0.5,AUDUSD,4,0.7,355.9,296.0,[139.2 216.7],[126.6 169.4],[ 70.3 144.5],[ 58.3 109.2],[ 68.9 129.8],[ 68.2 117.7],[ 9.3 21. ],[ 4.  13.5],[ 9.9 21.3],[14.7 27.3],"(array([18.1, 26.4]),)","(array([21.4, 28.9]),)","(array([41.7, 67.2]),)","(array([34.5, 47.7]),)","(array([20.6, 40.4]),)","(array([19.2, 30.6]),)"
1,ANZ Business Confidence_1,AUDUSD,2,0.885,585.9000000000001,531.9,[212.8 373.1],[211.9 320. ],[110.1 238.9],[114.5 197.9],[102.8 202.3],[ 97.4 166.9],[24.1 46.6],[24.7 43.3],[25.2 46.4],[25.2 43.9],"(array([35.6, 51.2]),)","(array([27.6, 41.5]),)","(array([41.4, 66.9]),)","(array([34.5, 47.7]),)","(array([20.3, 40.3]),)","(array([19.2, 30.6]),)"
2,ANZ Business Confidence_1.5,AUDUSD,3,0.56,638.8,601.9,[235.9 402.9],[238.  363.9],[122.9 260.4],[133.6 232.6],[113.  220.3],[104.4 170.5],[35.7 67.3],[34.8 62.6],[34.3 63.6],[37.  62.9],"(array([48.7, 70.8]),)","(array([37.7, 56.7]),)","(array([40.6, 65.1]),)","(array([34.5, 47.7]),)","(array([19.9, 39.2]),)","(array([19.2, 30.6]),)"
3,ANZ Business Confidence_2,AUDUSD,4,0.9025,635.8,617.7,[244.5 391.3],[248.7 369. ],[117.5 220. ],[142.7 236.1],[127. 251.],[105.9 171.8],[50.9 91.8],[42.2 78.2],[45.9 85.7],[43.3 74.9],"(array([61. , 90.4]),)","(array([51.3, 82.1]),)","(array([40.1, 64.4]),)","(array([34.5, 47.7]),)","(array([19.6, 38.9]),)","(array([19.2, 30.6]),)"
4,ANZ Business Confidence_2.5,AUDUSD,2,0.775,674.6,736.2,[262.3 412.3],[296.1 440.1],[124.8 228.2],[179.6 304.9],[137.5 268.4],[116.5 196.9],[ 63.  113.9],[52.7 93. ],[ 56.6 106.1],[ 68.7 121.4],"(array([ 74.8, 112.7]),)","(array([ 69.8, 114.2]),)","(array([39.9, 64. ]),)","(array([34.5, 47.7]),)","(array([19.6, 39.2]),)","(array([19.2, 30.6]),)"
5,ANZ Business Confidence_3,AUDUSD,3,0.53,708.2,839.2,[274.9 433.3],[327.2 512. ],[133.6 243.5],[182.5 307.1],[141.4 274.3],[144.7 251. ],[ 75.5 138.4],[ 58.3 109.5],[ 66.7 127.1],[ 87.8 158. ],"(array([ 93.5, 143. ]),)","(array([ 90.8, 147. ]),)","(array([39.2, 62.9]),)","(array([34.5, 47.7]),)","(array([19.3, 39. ]),)","(array([19.2, 30.6]),)"
6,ANZ Business Confidence_3.5,AUDUSD,3,0.5633333333333334,749.4000000000001,896.7,[291.1 458.3],[348.3 548.4],[145.7 263.8],[186.  310.3],[145.4 272. ],[162.3 282.9],[102.3 180.7],[ 88.7 165.2],[ 74.5 143.9],[ 95.  174.4],"(array([113.7, 173.3]),)","(array([124.2, 181.4]),)","(array([39.8, 63.9]),)","(array([34.5, 47.7]),)","(array([19.7, 40.2]),)","(array([19.2, 30.6]),)"
7,ANZ Business Confidence_4,AUDUSD,3,0.5933333333333334,761.7,961.6,[297.4 464.3],[373.1 588.5],[151.2 269.4],[199.2 322.3],[146.2 275.7],[173.9 313.1],[118.7 208.5],[105.7 199. ],[ 80.6 156.8],[101.1 189. ],"(array([132.1, 193. ]),)","(array([147.2, 210.2]),)","(array([39.3, 63. ]),)","(array([34.5, 47.7]),)","(array([19.3, 39.5]),)","(array([19.2, 30.6]),)"
8,ANZ Commodity Price Index (MoM)_0.5,AUDUSD,4,0.9125,339.4,303.6,[135.1 204.3],[127.9 175.7],[ 73.  138.9],[ 78.6 144.5],[ 62.2 123.1],[49.3 94.4],[12.4 24.8],[14.2 26.5],[ 8.7 19.5],[ 8.7 19. ],"(array([19. , 26.9]),)","(array([19.7, 28. ]),)","(array([41.5, 73.6]),)","(array([38.9, 55.8]),)","(array([21.2, 44.2]),)","(array([18. , 28.1]),)"
9,ANZ Commodity Price Index (MoM)_1,AUDUSD,3,0.9233333333333332,529.0,434.4,[208. 321.],[184.3 250.1],[111.2 214.8],[123.1 223.1],[ 96.9 195.9],[ 61.2 109.1],[26.  46.9],[29.7 54.3],[23.8 44.9],[22.3 43.1],"(array([32.9, 47.8]),)","(array([36.6, 52.3]),)","(array([40.5, 72.4]),)","(array([38.9, 55.8]),)","(array([20.8, 44.4]),)","(array([18. , 28.1]),)"
