index,News,Symbol,Space,Win Rate,Profit,Last 12 Profit,Max_Min,Max_Min_Last_Year,Max_Open,Max_Open_Last_Year,Min_Open,Min_Open_Last_Year,Time_of_Max,Time_of_Max_Last_Year,Time_of_Min,Time_of_Min_Last_Year,Time_of_MinMax,Time_of_MinMax_Last_Year,Buy_Stop,Buy_Stop_Last_Year,Sell_Stop,Sell_Stop_Last_Year
0,CFTC CHF speculative net positions_0.5,GBPCAD,5,0.85,562.0,320.1,[214.9 347.1],[136.8 183.3],[ 97.2 192.6],[45.2 79.3],[117.7 236.1],[ 91.6 152.4],[12.7 24.9],[ 3.1 10.1],[16.2 28.7],[24.8 32.9],"(array([19.9, 29. ]),)","(array([23.2, 31.2]),)","(array([54.4, 89.1]),)","(array([37.5, 48.6]),)","(array([28.5, 54.7]),)","(array([20.6, 34.6]),)"
1,CFTC CHF speculative net positions_1,GBPCAD,4,0.765,578.5,391.3,[232.3 346.2],[171.6 219.7],[114.8 222.8],[ 77.6 144.4],[117.5 217.8],[ 94.  158.4],[27.7 49.5],[19.8 39.4],[27.1 48.4],[29.2 52.8],"(array([33.7, 48.9]),)","(array([39.2, 51.7]),)","(array([49.4, 81.9]),)","(array([33.9, 50.3]),)","(array([24.3, 47.3]),)","(array([16.1, 29.8]),)"
2,CFTC CHF speculative net positions_1.5,GBPCAD,3,0.9066666666666666,774.6,552.5,[312.3 462.3],[248.5 304. ],[141.3 270.8],[103.5 199.4],[171. 302.],[145.  231.8],[47.8 79.2],[35.2 69.7],[58.7 93. ],[61.4 95.8],"(array([50.1, 75.8]),)","(array([65.2, 86.7]),)","(array([46.1, 75.2]),)","(array([34. , 50.4]),)","(array([22.3, 42.6]),)","(array([16.7, 30.2]),)"
3,CFTC CHF speculative net positions_2,GBPCAD,2,0.445,644.8,644.8,[277.  367.8],[277.  367.8],[ 91.8 149.9],[ 91.8 149.9],[185.2 282.5],[185.2 282.5],[35.9 70.1],[35.9 70.1],[ 72.2 107.7],[ 72.2 107.7],"(array([54.9, 90.6]),)","(array([54.9, 90.6]),)","(array([44.3, 69.3]),)","(array([44.3, 69.3]),)","(array([23.3, 40.5]),)","(array([23.3, 40.5]),)"
4,CFTC CHF speculative net positions_2.5,GBPCAD,2,0.945,672.8,672.8,[287.5 385.3],[287.5 385.3],[ 91.8 149.9],[ 91.8 149.9],[195.7 288.5],[195.7 288.5],[35.9 70.1],[35.9 70.1],[ 92.6 136.2],[ 92.6 136.2],"(array([56.7, 96.4]),)","(array([56.7, 96.4]),)","(array([44.3, 69.3]),)","(array([44.3, 69.3]),)","(array([23.3, 40.5]),)","(array([23.3, 40.5]),)"
5,CFTC CHF speculative net positions_3,GBPCAD,2,1.0,711.0,711.0,[302.6 408.4],[302.6 408.4],[ 89.5 154.2],[ 89.5 154.2],[213.1 308.2],[213.1 308.2],[33.8 68.5],[33.8 68.5],[ 87.9 136.4],[ 87.9 136.4],"(array([54.1, 95.2]),)","(array([54.1, 95.2]),)","(array([36.9, 59. ]),)","(array([36.9, 59. ]),)","(array([18.8, 33.6]),)","(array([18.8, 33.6]),)"
6,CFTC CHF speculative net positions_3.5,GBPCAD,2,1.0,775.4000000000001,775.4000000000001,[327.6 447.8],[327.6 447.8],[ 92.9 158.1],[ 92.9 158.1],[234.8 327.1],[234.8 327.1],[ 55.1 121.3],[ 55.1 121.3],[131.6 200.1],[131.6 200.1],"(array([115. , 175.8]),)","(array([115. , 175.8]),)","(array([36.9, 59. ]),)","(array([36.9, 59. ]),)","(array([18.8, 33.6]),)","(array([18.8, 33.6]),)"
7,CFTC CHF speculative net positions_4,GBPCAD,2,1.0,812.5,812.5,[342.9 469.6],[342.9 469.6],[108.1 184.2],[108.1 184.2],[234.8 327.1],[234.8 327.1],[ 85.9 177.7],[ 85.9 177.7],[131.6 200.1],[131.6 200.1],"(array([142.5, 197.6]),)","(array([142.5, 197.6]),)","(array([36.9, 59. ]),)","(array([36.9, 59. ]),)","(array([18.8, 33.6]),)","(array([18.8, 33.6]),)"
8,CPI (MoM)_0.5,GBPCAD,2,0.875,703.5,833.3,[279.8 423.7],[310.5 522.8],[122.5 236.7],[129.3 240. ],[157.3 305.9],[181.2 409. ],[11.6 24. ],[11.  22.4],[11.  22.7],[12.5 25.9],"(array([19.2, 27.7]),)","(array([20.7, 29.9]),)","(array([ 85.7, 137.4]),)","(array([ 75.6, 112.1]),)","(array([41.3, 77.5]),)","(array([33.4, 55. ]),)"
9,CPI (MoM)_1,GBPCAD,3,0.5933333333333334,878.3,929.2,[357.9 520.4],[369.1 560.1],[166.7 312.2],[155. 270.],[191.2 360.7],[214.1 449.2],[25.6 48.3],[24.4 48.3],[22.8 43.9],[21.7 40.7],"(array([34.3, 49.5]),)","(array([31.9, 45.5]),)","(array([ 85.4, 137.2]),)","(array([ 75.6, 112.1]),)","(array([40.8, 76.8]),)","(array([33.4, 55. ]),)"
